Year,Month,Day,Hour,Minute,Second,FracSec,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Yaw,Pitch,Roll,QuatX,QuatY,QuatZ,QuatS
-20,1,6,1,9,59,190,+0.324,-0.412,+0.344,+00.0634,+00.0018,-09.1821,-00.000845,-00.000647,-00.000230,-078.032,+000.244,-000.018,+0.001213768,+1.75361E-003,-6.29536E-001,+7.76969E-001
-20,1,6,1,9,59,193,+0.333,-0.416,+0.348,+00.0520,-00.0177,-09.1971,-00.000534,+00.000107,+00.000221,-078.032,+000.244,-000.018,+0.001217388,+1.75672E-003,-6.29535E-001,+7.76969E-001
-20,1,6,1,9,59,195,+0.329,-0.414,+0.345,+00.0165,-00.0276,-09.1818,+00.000364,-00.000167,-00.000885,-078.032,+000.244,-000.018,+0.001216672,+1.75565E-003,-6.29537E-001,+7.76967E-001
-20,1,6,1,9,59,198,+0.329,-0.414,+0.345,+00.0665,-00.0057,-09.1722,-00.000102,-00.000313,-00.001012,-078.032,+000.244,-000.018,+0.001218161,+1.74956E-003,-6.29537E-001,+7.76967E-001
-20,1,6,1,9,59,200,+0.329,-0.413,+0.345,+00.0434,-00.0029,-09.1718,-00.000075,+00.000649,+00.000693,-078.032,+000.244,-000.018,+0.00121904,+1.75094E-003,-6.29536E-001,+7.76969E-001
-20,1,6,1,9,59,203,+0.329,-0.413,+0.345,+00.0042,-00.0277,-09.1735,-00.000047,+00.000572,+00.000620,-078.032,+000.244,-000.018,+0.001220167,+1.75091E-003,-6.29536E-001,+7.76969E-001
-20,1,6,1,9,59,205,+0.328,-0.412,+0.343,+00.0816,+00.0051,-09.1595,+00.000144,+00.000421,-00.000159,-078.032,+000.244,-000.018,+0.001221109,+1.75150E-003,-6.29536E-001,+7.76968E-001
-20,1,6,1,9,59,208,+0.324,-0.407,+0.342,+00.0904,+00.0151,-09.1381,+00.000978,+00.000671,-00.000084,-078.032,+000.245,-000.017,+0.001227001,+1.75682E-003,-6.29536E-001,+7.76968E-001
-20,1,6,1,9,59,210,+0.324,-0.407,+0.342,+00.0417,-00.0120,-09.1431,+00.001351,-00.000302,-00.000154,-078.032,+000.245,-000.017,+0.001227184,+1.75450E-003,-6.29537E-001,+7.76968E-001
-20,1,6,1,9,59,213,+0.327,-0.411,+0.344,+00.0858,+00.0160,-09.1537,+00.000147,+00.000375,-00.000557,-078.032,+000.245,-000.017,+0.001229937,+1.75613E-003,-6.29537E-001,+7.76967E-001
-20,1,6,1,9,59,215,+0.327,-0.411,+0.344,+00.0514,+00.0153,-09.1807,-00.000410,+00.001718,-00.000222,-078.032,+000.245,-000.017,+0.001231154,+1.75729E-003,-6.29537E-001,+7.76968E-001
-20,1,6,1,9,59,218,+0.328,-0.409,+0.345,-00.0139,-00.0221,-09.1817,-00.000553,+00.000803,+00.000227,-078.032,+000.246,-000.018,+0.001229791,+1.76151E-003,-6.29537E-001,+7.76968E-001
-20,1,6,1,9,59,220,+0.326,-0.411,+0.327,+00.0595,-00.0179,-09.1614,-00.000224,+00.000163,-00.000382,-078.032,+000.246,-000.017,+0.001230637,+1.76091E-003,-6.29538E-001,+7.76967E-001
-20,1,6,1,9,59,223,+0.326,-0.411,+0.327,+00.0905,-00.0001,-09.1466,+00.000359,-00.000158,-00.000139,-078.032,+000.246,-000.017,+0.001235293,+1.76138E-003,-6.29538E-001,+7.76967E-001
-20,1,6,1,9,59,225,+0.328,-0.411,+0.345,+00.0203,-00.0114,-09.1509,+00.000585,-00.000780,-00.000066,-078.032,+000.246,-000.017,+0.001235201,+1.75894E-003,-6.29538E-001,+7.76967E-001
-20,1,6,1,9,59,228,+0.328,-0.411,+0.345,+00.0600,-00.0016,-09.1674,+00.001201,-00.001259,+00.000563,-078.032,+000.245,-000.016,+0.001235088,+1.75262E-003,-6.29536E-001,+7.76968E-001
-20,1,6,1,9,59,230,+0.324,-0.408,+0.344,+00.0969,+00.0170,-09.1786,+00.000272,-00.000996,+00.001337,-078.032,+000.245,-000.017,+0.001234004,+1.75243E-003,-6.29535E-001,+7.76969E-001
-20,1,6,1,9,59,233,+0.335,-0.413,+0.346,+00.0182,-00.0017,-09.1691,-00.000493,-00.000423,+00.000402,-078.032,+000.246,-000.017,+0.001238174,+1.76184E-003,-6.29535E-001,+7.76969E-001
-20,1,6,1,9,59,235,+0.335,-0.413,+0.346,+00.0271,00.0000,-09.1644,+00.000502,+00.000533,-00.000540,-078.032,+000.246,-000.017,+0.001239985,+1.76209E-003,-6.29536E-001,+7.76968E-001
-20,1,6,1,9,59,238,+0.327,-0.411,+0.344,+00.0762,+00.0021,-09.1708,+00.000204,+00.000495,-00.000960,-078.032,+000.246,-000.017,+0.001237842,+1.76060E-003,-6.29537E-001,+7.76968E-001
-20,1,6,1,9,59,240,+0.327,-0.411,+0.344,+00.0258,-00.0163,-09.1729,-00.000543,-00.000408,+00.000526,-078.032,+000.246,-000.017,+0.001237325,+1.76013E-003,-6.29535E-001,+7.76969E-001
