,QuatX,QuatY,QuatZ,QuatS
0,0.001118928,0.00145812,-0.619417,0.78506
1,0.001118928,0.00145812,-0.619417,0.78506
2,0.001116588,0.00145504,-0.619418,0.78506
3,0.00111661,0.0014555,-0.619418,0.785059
4,0.001118324,0.00145968,-0.619418,0.785059
5,0.001117311,0.0014582,-0.619418,0.785059
6,0.001115758,0.00145525,-0.619418,0.78506
7,0.001116094,0.00145665,-0.619416,0.785061
8,0.001115487,0.00145725,-0.619418,0.785059
9,0.001113913,0.00145912,-0.619418,0.785059
10,0.001116662,0.00146587,-0.61942,0.785058
11,0.001117992,0.00146532,-0.61942,0.785058
12,0.001117954,0.00146341,-0.61942,0.785057
13,0.001118158,0.00146413,-0.619419,0.785059
14,0.001116376,0.00146628,-0.619418,0.785059
15,0.001116906,0.00146864,-0.619419,0.785059
16,0.001118525,0.00146943,-0.619419,0.785058
17,0.001117849,0.00147075,-0.61942,0.785058
18,0.001117357,0.00146515,-0.61942,0.785058
19,0.001116309,0.00146529,-0.619418,0.785059
20,0.001113679,0.00146402,-0.619419,0.785058
21,0.001110766,0.00146403,-0.619419,0.785058
22,0.001113491,0.00146315,-0.619419,0.785059
23,0.001114841,0.00146596,-0.619417,0.78506
24,0.001111119,0.00146177,-0.619416,0.785061
25,0.00111073,0.00145984,-0.619416,0.785061
26,0.001117189,0.0014654,-0.619415,0.785061
27,0.001117363,0.00146513,-0.619416,0.785061
28,0.001117398,0.00146029,-0.619416,0.785061
29,0.001116427,0.00146117,-0.619415,0.785062
30,0.00111959,0.00145864,-0.619416,0.785061
31,0.001120055,0.00145805,-0.619415,0.785062
32,0.001121479,0.00146365,-0.619414,0.785062
33,0.001118916,0.00146419,-0.619413,0.785063
34,0.001119246,0.00145731,-0.619414,0.785062
35,0.001120364,0.00145805,-0.619413,0.785063
36,0.001115905,0.00145513,-0.619413,0.785063
37,0.001116742,0.00145716,-0.619413,0.785063
38,0.001118676,0.00146407,-0.619413,0.785063
39,0.001120314,0.00146302,-0.619412,0.785064
40,0.001120335,0.00145436,-0.619412,0.785064
41,0.001119876,0.00145329,-0.619413,0.785064
42,0.001118138,0.00144693,-0.619413,0.785063
43,0.001118282,0.0014481,-0.619412,0.785064
44,0.001122233,0.00145959,-0.619413,0.785063
45,0.001122056,0.00146061,-0.619413,0.785063
46,0.00111846,0.00145412,-0.619414,0.785063
47,0.00111894,0.00145598,-0.619415,0.785062
48,0.001116011,0.00146312,-0.619415,0.785062
49,0.001115474,0.00146299,-0.619414,0.785063
50,0.001117107,0.00147177,-0.619413,0.785063
51,0.001116972,0.00147205,-0.619415,0.785062
52,0.001118759,0.00146494,-0.619415,0.785062
53,0.001118371,0.00146614,-0.619415,0.785062
54,0.001118042,0.00147188,-0.619415,0.785062
55,0.001118515,0.00147336,-0.619417,0.78506
56,0.001117736,0.00147283,-0.619417,0.78506
57,0.001117245,0.00147052,-0.619417,0.78506
58,0.001115407,0.00146693,-0.619417,0.78506
59,0.001115706,0.00146697,-0.619416,0.785061
60,0.001116847,0.00147779,-0.619416,0.785061
61,0.001117251,0.00147801,-0.619416,0.785061
62,0.001125436,0.00147498,-0.619416,0.785061
