,Yaw,Pitch,Roll
199,-76.548,0.212,-0.01
200,-76.548,0.213,-0.01
201,-76.548,0.213,-0.01
202,-76.548,0.213,-0.01
203,-76.548,0.213,-0.01
204,-76.548,0.213,-0.01
205,-76.549,0.213,-0.009
206,-76.549,0.213,-0.009
207,-76.548,0.213,-0.009
208,-76.548,0.214,-0.009
209,-76.549,0.214,-0.009
210,-76.549,0.214,-0.009
211,-76.549,0.214,-0.009
212,-76.548,0.214,-0.009
213,-76.548,0.214,-0.009
214,-76.548,0.214,-0.009
215,-76.548,0.214,-0.009
216,-76.548,0.214,-0.008
217,-76.548,0.214,-0.008
218,-76.548,0.215,-0.008
219,-76.548,0.215,-0.008
220,-76.548,0.214,-0.008
221,-76.548,0.214,-0.008
222,-76.548,0.214,-0.008
223,-76.548,0.214,-0.008
224,-76.548,0.215,-0.008
225,-76.548,0.215,-0.008
226,-76.548,0.214,-0.008
227,-76.548,0.214,-0.008
228,-76.548,0.214,-0.008
229,-76.548,0.214,-0.008
230,-76.548,0.215,-0.008
231,-76.548,0.214,-0.008
232,-76.548,0.214,-0.008
233,-76.548,0.213,-0.007
234,-76.548,0.213,-0.008
235,-76.548,0.213,-0.008
236,-76.548,0.213,-0.008
237,-76.548,0.213,-0.008
238,-76.548,0.213,-0.009
239,-76.548,0.212,-0.009
240,-76.549,0.213,-0.009
241,-76.548,0.213,-0.008
242,-76.549,0.212,-0.008
243,-76.549,0.213,-0.009
244,-76.548,0.212,-0.009
245,-76.549,0.212,-0.009
246,-76.549,0.213,-0.009
247,-76.549,0.213,-0.009
248,-76.549,0.212,-0.009
249,-76.549,0.212,-0.009
250,-76.549,0.211,-0.01
251,-76.549,0.211,-0.01
252,-76.549,0.212,-0.01
253,-76.549,0.212,-0.01
254,-76.549,0.212,-0.01
255,-76.55,0.212,-0.01
256,-76.55,0.211,-0.01
257,-76.549,0.211,-0.01
258,-76.549,0.212,-0.011
259,-76.55,0.212,-0.011
260,-76.55,0.211,-0.011
261,-76.55,0.211,-0.011
262,-76.55,0.211,-0.012
263,-76.55,0.211,-0.012
264,-76.55,0.212,-0.012
265,-76.55,0.212,-0.012
266,-76.55,0.212,-0.012
267,-76.551,0.212,-0.012
268,-76.551,0.212,-0.012
269,-76.551,0.212,-0.012
270,-76.551,0.213,-0.012
271,-76.551,0.213,-0.012
272,-76.551,0.213,-0.011
273,-76.551,0.213,-0.011
274,-76.551,0.214,-0.011
275,-76.551,0.214,-0.011
276,-76.551,0.214,-0.011
277,-76.551,0.214,-0.011
278,-76.551,0.214,-0.011
279,-76.551,0.214,-0.011
280,-76.551,0.214,-0.01
281,-76.551,0.214,-0.01
282,-76.55,0.214,-0.01
283,-76.55,0.214,-0.01
284,-76.55,0.214,-0.01
285,-76.55,0.215,-0.009
286,-76.55,0.215,-0.01
287,-76.55,0.216,-0.01
288,-76.55,0.215,-0.01
289,-76.55,0.215,-0.009
290,-76.55,0.215,-0.009
291,-76.55,0.215,-0.009
292,-76.55,0.215,-0.009
293,-76.55,0.215,-0.009
294,-76.55,0.215,-0.009
295,-76.55,0.215,-0.009
296,-76.55,0.215,-0.009
297,-76.55,0.215,-0.009
298,-76.55,0.215,-0.009
299,-76.55,0.215,-0.009
300,-76.55,0.214,-0.008
301,-76.55,0.214,-0.008
302,-76.55,0.215,-0.009
303,-76.55,0.215,-0.009
304,-76.551,0.215,-0.009
305,-76.551,0.215,-0.009
306,-76.551,0.215,-0.008
307,-76.55,0.215,-0.008
308,-76.55,0.215,-0.009
309,-76.55,0.215,-0.009
310,-76.55,0.215,-0.009
311,-76.55,0.215,-0.009
312,-76.551,0.214,-0.009
313,-76.551,0.214,-0.009
314,-76.551,0.214,-0.009
315,-76.551,0.214,-0.009
316,-76.551,0.213,-0.009
317,-76.551,0.214,-0.009
318,-76.551,0.213,-0.01
319,-76.551,0.213,-0.01
320,-76.551,0.214,-0.01
321,-76.551,0.214,-0.01
322,-76.551,0.213,-0.011
323,-76.551,0.213,-0.011
324,-76.551,0.213,-0.011
325,-76.551,0.213,-0.011
326,-76.551,0.214,-0.011
327,-76.551,0.214,-0.011
328,-76.551,0.213,-0.011
329,-76.551,0.213,-0.011
330,-76.551,0.214,-0.011
331,-76.552,0.214,-0.011
332,-76.552,0.214,-0.011
333,-76.552,0.214,-0.011
334,-76.552,0.213,-0.011
335,-76.552,0.213,-0.011
336,-76.552,0.214,-0.011
337,-76.552,0.214,-0.011
338,-76.552,0.215,-0.011
339,-76.552,0.215,-0.011
340,-76.552,0.214,-0.012
341,-76.552,0.215,-0.011
342,-76.552,0.216,-0.012
343,-76.552,0.216,-0.012
344,-76.552,0.216,-0.012
345,-76.552,0.215,-0.012
346,-76.552,0.215,-0.012
347,-76.552,0.215,-0.012
348,-76.552,0.216,-0.012
349,-76.552,0.216,-0.012
350,-76.552,0.216,-0.012
351,-76.552,0.216,-0.011
352,-76.552,0.216,-0.012
353,-76.552,0.216,-0.012
354,-76.552,0.217,-0.011
355,-76.552,0.217,-0.011
356,-76.552,0.216,-0.011
357,-76.552,0.216,-0.011
358,-76.552,0.216,-0.011
359,-76.552,0.216,-0.011
360,-76.552,0.216,-0.01
361,-76.552,0.216,-0.011
362,-76.552,0.216,-0.01
363,-76.552,0.216,-0.01
364,-76.552,0.216,-0.01
365,-76.552,0.216,-0.01
366,-76.552,0.217,-0.009
367,-76.552,0.217,-0.01
368,-76.552,0.216,-0.009
369,-76.552,0.216,-0.009
370,-76.552,0.217,-0.009
371,-76.552,0.217,-0.009
372,-76.552,0.216,-0.009
373,-76.552,0.216,-0.009
374,-76.552,0.216,-0.009
375,-76.552,0.216,-0.009
376,-76.552,0.216,-0.009
377,-76.552,0.216,-0.009
378,-76.552,0.216,-0.008
379,-76.552,0.216,-0.008
