,xAcc,yAcc,zAcc
177,-0.0327,-0.0222,0.9414
178,-0.0322,-0.0254,0.9622
179,-0.0281,-0.022,0.9729
180,-0.0266,-0.0237,0.9839
181,-0.0349,-0.0247,1.0073
182,-0.0371,-0.0244,1.0166
183,-0.0366,-0.0259,1.0352
184,-0.0391,-0.0271,1.0515
185,-0.0386,-0.0139,1.0703
186,-0.04,-0.0132,1.0818
187,-0.0369,-0.0168,1.0979
188,-0.0437,-0.0247,1.1218
189,-0.0525,-0.0149,1.1311
190,-0.0522,-0.0139,1.1423
191,-0.0522,-0.0125,1.1587
192,-0.0522,-0.0044,1.1753
193,-0.0579,-0.0032,1.1702
194,-0.0635,-0.0017,1.2039
195,-0.0618,-0.0122,1.2034
196,-0.0703,-0.0115,1.2175
197,-0.0732,-0.0007,1.23
198,-0.0674,-0.0061,1.2253
199,-0.0701,0.0007,1.2292
200,-0.0801,0.0132,1.2427
201,-0.0825,-0.0066,1.2288
202,-0.083,0.001,1.2749
203,-0.0823,0.0054,1.2356
204,-0.0867,0.0161,1.2239
205,-0.0886,-0.0022,1.2236
206,-0.0859,-0.0017,1.2209
207,-0.0867,0.0085,1.2117
208,-0.0933,0.0063,1.2012
209,-0.0925,0.0046,1.1899
210,-0.0908,0.0085,1.1858
211,-0.0908,0.019,1.1624
212,-0.0842,0.0073,1.1467
213,-0.0815,0.0093,1.1355
214,-0.0815,0.0032,1.1228
215,-0.0837,0.0156,1.1125
216,-0.0789,0.0164,1.0876
217,-0.0771,0.0173,1.0752
218,-0.0759,0.021,1.0535
219,-0.0698,0.0188,1.0408
220,-0.0713,0.0142,1.0239
221,-0.0659,0.0112,1.0044
222,-0.0737,0.019,0.9968
223,-0.0688,0.0266,0.9866
224,-0.0635,0.022,0.9636
225,-0.0603,0.0193,0.9546
226,-0.0591,0.0225,0.9451
227,-0.0557,0.0122,0.9351
228,-0.0547,0.019,0.9243
229,-0.051,0.0288,0.9119
230,-0.0474,0.0205,0.9021
231,-0.0588,0.0261,0.9016
232,-0.0471,0.0271,0.927
233,-0.0444,0.0164,0.894
234,-0.0461,0.0193,0.8982
235,-0.0488,0.0208,0.9026
236,-0.0457,0.0232,0.9082
237,-0.041,0.0312,0.9006
238,-0.0439,0.0278,0.9131
239,-0.0498,0.0256,0.9172
240,-0.0471,0.0127,0.928
241,-0.0488,0.019,0.9316
242,-0.0491,0.0288,0.9487
243,-0.0471,0.031,0.967
244,-0.0522,0.0083,0.981
245,-0.0459,0.0264,0.9951
246,-0.0459,0.0312,0.9895
247,-0.0513,0.0208,1.0139
