,Yaw,Pitch,Roll
0,-78.032,0.246,-0.018
1,-78.032,0.246,-0.018
2,-78.032,0.246,-0.018
3,-78.032,0.245,-0.018
4,-78.032,0.246,-0.018
5,-78.032,0.246,-0.018
6,-78.032,0.246,-0.018
7,-78.031,0.245,-0.018
8,-78.031,0.245,-0.018
9,-78.031,0.245,-0.018
10,-78.032,0.245,-0.018
11,-78.032,0.246,-0.018
12,-78.032,0.246,-0.018
13,-78.032,0.245,-0.018
14,-78.031,0.245,-0.018
15,-78.031,0.246,-0.018
16,-78.031,0.245,-0.018
17,-78.031,0.246,-0.018
18,-78.031,0.246,-0.018
19,-78.031,0.245,-0.018
20,-78.031,0.245,-0.018
21,-78.031,0.245,-0.018
22,-78.031,0.245,-0.018
23,-78.031,0.245,-0.018
24,-78.032,0.245,-0.018
25,-78.032,0.245,-0.018
26,-78.032,0.245,-0.018
27,-78.032,0.246,-0.018
28,-78.032,0.245,-0.019
29,-78.032,0.245,-0.018
30,-78.032,0.245,-0.018
31,-78.032,0.245,-0.018
32,-78.032,0.245,-0.018
33,-78.032,0.245,-0.018
34,-78.032,0.245,-0.019
35,-78.032,0.245,-0.018
36,-78.032,0.245,-0.018
37,-78.032,0.244,-0.018
38,-78.032,0.244,-0.018
39,-78.032,0.245,-0.018
40,-78.032,0.245,-0.018
41,-78.032,0.244,-0.018
42,-78.032,0.244,-0.018
43,-78.032,0.244,-0.018
44,-78.032,0.244,-0.018
45,-78.032,0.245,-0.017
46,-78.032,0.244,-0.017
47,-78.032,0.243,-0.017
48,-78.032,0.243,-0.018
49,-78.032,0.244,-0.018
50,-78.032,0.244,-0.018
51,-78.032,0.244,-0.017
52,-78.032,0.244,-0.017
53,-78.032,0.243,-0.017
54,-78.032,0.243,-0.017
55,-78.032,0.244,-0.017
56,-78.032,0.244,-0.017
57,-78.032,0.243,-0.017
58,-78.032,0.243,-0.017
59,-78.032,0.243,-0.017
60,-78.032,0.242,-0.017
61,-78.032,0.243,-0.018
62,-78.032,0.243,-0.018
63,-78.032,0.243,-0.017
64,-78.032,0.243,-0.017
65,-78.031,0.243,-0.018
66,-78.031,0.243,-0.018
67,-78.031,0.244,-0.018
68,-78.031,0.244,-0.018
69,-78.031,0.244,-0.018
70,-78.031,0.244,-0.018
71,-78.031,0.244,-0.018
72,-78.031,0.244,-0.018
73,-78.031,0.245,-0.018
74,-78.032,0.245,-0.018
75,-78.031,0.244,-0.018
76,-78.032,0.244,-0.018
77,-78.032,0.245,-0.018
78,-78.032,0.244,-0.018
79,-78.032,0.245,-0.018
80,-78.031,0.245,-0.018
81,-78.032,0.244,-0.018
82,-78.032,0.244,-0.018
83,-78.032,0.245,-0.018
84,-78.032,0.245,-0.018
85,-78.032,0.245,-0.018
86,-78.032,0.245,-0.018
87,-78.032,0.244,-0.018
88,-78.032,0.244,-0.018
89,-78.032,0.245,-0.018
90,-78.032,0.245,-0.018
91,-78.032,0.245,-0.018
92,-78.032,0.244,-0.018
93,-78.032,0.244,-0.018
94,-78.032,0.244,-0.018
95,-78.032,0.244,-0.018
96,-78.032,0.244,-0.019
97,-78.032,0.244,-0.018
98,-78.032,0.244,-0.018
99,-78.032,0.244,-0.018
