,xGyr,yGyr,zGyr
165,-0.000431,0.000995,4.6e-05
166,0.000575,0.000529,-1.9e-05
167,0.001016,-0.000101,7.5e-05
168,0.000248,0.000142,-0.00105
169,-0.000291,0.000258,-0.00134
170,-0.00115,7.2e-05,-5.3e-05
171,-0.000951,7.5e-05,-0.000105
172,0.000452,-0.000505,-7e-05
173,1.3e-05,-0.00069,-0.000145
174,-0.000497,0.000447,-0.000962
175,-0.000182,8.8e-05,-0.000141
176,-0.00016,-0.000749,0.000683
177,-0.000377,-0.000642,0.000168
178,9.2e-05,-0.000969,-0.000239
179,0.000645,-2e-06,-0.000471
180,0.000185,-0.000442,-0.000173
181,-0.000466,-0.00165,0.00063
182,-0.001087,-0.000656,0.000575
183,-0.000634,0.00079,-0.000343
184,0.000241,-0.000135,-0.000158
185,-0.000265,-0.001378,-0.000221
186,-0.000827,0.00017,-0.000755
187,0.000414,0.000675,-0.001158
188,0.000641,-0.000955,-0.000755
189,-6.8e-05,-0.000762,0.000668
190,-0.000443,-0.000203,0.000249
191,-0.00017,-0.000264,-0.000967
192,5.5e-05,-0.000162,9.6e-05
193,-0.000339,8.9e-05,0.000169
194,0.000489,0.000528,-0.000336
195,0.000386,-0.000838,0.000101
196,-0.000772,-0.001751,0.00061
197,-0.000336,-0.000229,0.001313
198,0.000166,0.000326,0.000376
199,0.00026,-0.000546,-0.000493
200,0.000434,-0.000742,-0.000416
201,9.2e-05,-0.000479,-0.000117
202,0.000576,6.5e-05,-0.000667
203,0.000695,0.000304,-0.000855
204,0.000953,0.000778,-0.000301
205,0.000998,0.000396,-0.000796
206,0.00067,-0.00086,-0.000543
207,0.000866,-0.000494,0.000294
208,-0.000126,3.5e-05,0.000299
209,-0.000505,0.000846,-0.000464
210,0.000582,0.000957,-9.7e-05
211,0.000919,0.000864,0.000286
212,-0.000237,0.001295,0.000533
213,-0.000503,7.6e-05,0.001225
214,-0.000222,-2.9e-05,0.000568
215,-0.000105,0.00021,-0.000206
216,0.000193,0.000408,-0.000766
217,0.000231,0.000126,0.000219
218,0.000551,-4.4e-05,0.000294
219,0.000226,-0.000213,-0.000263
220,-0.000249,-0.000854,0.001084
221,-7.3e-05,-0.000892,0.001282
222,-0.000226,-0.000493,0.000633
223,5.4e-05,-0.000227,-0.000156
224,3.9e-05,-0.000489,-0.000357
225,-0.000275,-0.000144,-0.000244
226,-0.000168,-9.5e-05,1e-05
227,-0.000285,-0.000272,0.001076
228,-0.000138,-0.000185,0.000298
229,0.000505,-0.000191,-0.000971
230,0.000365,-0.000381,-0.000768
231,-0.000513,-0.001021,-4.4e-05
232,-0.000178,-0.001358,0.000853
233,0.00068,-0.00127,0.000194
234,8e-06,-0.000815,-0.000113
235,-0.001009,-0.000346,-0.000542
236,-0.000365,-0.000469,-0.000914
237,-0.000411,-6e-06,-0.000275
238,-0.001114,-4.9e-05,-0.001103
239,-0.000379,-0.001238,-0.000955
240,0.000785,-0.001122,-0.000476
241,0.001418,-0.00045,6.4e-05
242,0.001166,-0.000925,0.000146
243,-0.000561,-5.4e-05,-0.000499
244,-0.000965,0.000977,0.000173
245,-0.000216,-0.000151,-4.8e-05
246,-0.000201,-0.000716,-0.000186
247,0.000743,0.000309,-0.000146
248,-0.000307,0.001149,0.000139
249,-0.001037,0.00039,-0.000465
250,-0.0006,-0.00065,-0.00157
251,-0.000143,-8.1e-05,-0.000287
252,-0.000298,0.000333,-1.5e-05
253,-0.001185,0.000615,-0.000689
254,0.000188,0.000763,-0.001166
255,0.000618,0.000474,-0.00161
256,3.8e-05,0.000446,-0.000551
257,-0.000212,-0.001278,0.00027
258,-0.000291,-0.001635,0.000235
259,0.00029,0.000211,-0.000682
260,0.000579,0.001033,-0.001992
261,0.000325,0.000605,-0.001524
262,3.9e-05,-0.00013,-0.001665
263,-0.000254,-0.000285,-0.001168
264,-0.000424,0.000218,0.00082
265,-3e-06,0.000309,0.000544
266,0.000573,-6.5e-05,-0.000765
267,0.000368,-0.000515,-0.001269
268,7e-06,-0.001059,-0.000586
269,-0.000147,-0.000239,-0.000262
270,-0.000186,0.000579,-0.000287
271,0.000235,0.000809,-0.001637
272,0.000729,0.000584,-0.001189
273,0.000595,0.000179,0.000861
274,-3.6e-05,-0.000188,0.000123
275,-0.000305,1.3e-05,-0.000205
276,4.8e-05,0.000314,0.000562
277,9.2e-05,0.000803,0.000616
278,0.000351,0.001122,9.3e-05
279,0.001308,-0.000283,0.00073
280,0.001308,-0.00015,0.000625
281,0.000193,0.000634,0.000165
282,1e-06,0.000246,0.000925
283,0.000412,0.000179,0.000863
284,0.000531,0.000496,0.00073
285,0.000639,0.000974,-2e-06
286,0.000563,0.000606,0.000158
287,2.9e-05,0.000486,0.000818
288,-0.000109,0.000354,0.000488
289,0.000865,-0.000272,0.001084
290,0.001213,7.4e-05,0.000293
291,0.000634,0.000135,-0.001337
292,-0.000352,-0.000118,-0.000913
293,-0.000365,-0.000548,-0.000655
294,0.000739,-0.000599,-0.000947
295,0.000441,6.3e-05,9.4e-05
296,-0.000436,-0.00031,0.000756
297,-0.000256,-0.001633,0.000669
298,0.000199,-0.001634,0.001087
299,0.000776,-0.000571,0.000415
300,0.000415,-0.000128,-0.000585
301,-0.000407,0.000131,-0.00067
302,-0.000194,0.000777,-0.001049
303,-0.000667,0.000939,-0.000759
304,-0.000211,0.001302,-0.000882
305,0.000325,0.001059,-0.000541
306,9e-05,0.000667,0.000312
307,-0.000347,0.000406,0.000435
308,-0.000916,-0.000558,0.000837
309,-0.001067,-0.000344,0.00036
310,-0.001163,9e-05,-0.000193
311,-0.00024,-0.000451,-0.000486
312,0.000127,-0.001577,-0.000615
313,-0.000324,-0.001314,-0.000728
314,-0.000315,-0.00012,-0.001244
315,-4.4e-05,5.4e-05,-0.001605
316,0.000325,0.000288,-0.00068
317,0.000627,0.000573,0.001019
318,-0.000274,0.0008,0.001145
319,-0.000139,7.4e-05,0.000495
320,0.000182,-0.000493,-0.00037
321,-0.000583,-4e-06,-0.000298
322,-0.000178,-1.8e-05,-1.6e-05
323,-0.000543,-0.000669,7.6e-05
324,-0.0006,-0.001082,-0.000259
325,0.000218,-3.5e-05,-0.001154
326,0.000129,0.001134,-0.000276
327,-0.000198,0.000607,-9e-06
328,8.3e-05,-0.000692,-0.001076
329,0.000524,-0.001459,-0.000601
330,6.7e-05,-0.000776,-2.7e-05
331,-0.000275,0.000435,-0.000967
332,-0.000165,0.000195,-0.00068
333,-3.3e-05,-0.000204,-0.000763
334,0.000431,-0.000795,-0.000603
335,0.000327,-0.000747,0.000464
336,0.000699,-0.000113,0.000512
337,0.001021,0.000618,-0.000179
338,0.000254,0.001032,-0.00114
339,-0.000338,0.000331,-0.000912
340,-0.00093,9e-05,0.000334
341,-0.000154,0.000619,-1.8e-05
342,0.000847,0.001251,0.000569
343,1.1e-05,0.000957,0.001429
344,0.000535,0.00021,-0.000685
345,0.001023,-0.000768,-0.000812
346,0.000454,-0.000996,0.000207
347,-0.000125,-0.001131,0.000667
348,-0.000668,-0.000839,0.000464
349,0.000357,-0.000386,-0.000136
350,0.000991,-0.000518,-0.000199
351,0.001042,0.000144,-0.000532
352,0.000548,0.000437,-0.000924
353,-0.000558,0.00061,-0.000375
354,-0.000437,-1.3e-05,-0.000179
355,9.3e-05,-0.000291,-0.000121
356,-0.000208,-0.000571,0.000125
357,0.000203,-0.000677,0.000105
358,0.000379,-0.000355,-0.000631
359,3.7e-05,-0.000213,-0.000518
360,0.00067,4.9e-05,0.000234
361,0.000511,6.5e-05,0.000237
362,0.000187,0.000432,0.000762
363,0.00035,0.00035,0.001093
364,-0.000361,3.7e-05,0.000423
365,-0.000347,-0.000305,-0.000325
366,0.000191,0.000194,0.000308
367,-0.000207,0.000951,-5.6e-05
368,-0.000201,0.000316,-0.000457
369,0.000251,-0.000404,0.000866
370,0.000986,-0.00024,0.00027
371,0.001616,-0.000235,-0.001165
372,0.000971,-0.000443,-0.000399
373,0.000194,-0.000453,-0.000357
374,0.000326,-0.000819,0.000171
375,0.000514,-0.000163,0.000367
376,0.000407,0.000644,-0.000434
377,0.000102,0.000149,-0.000434
378,0.000422,4.2e-05,-0.00047
379,0.000757,2.7e-05,-0.001099
380,-7.9e-05,-0.00082,-0.001568
381,-0.000786,-0.000717,-0.000946
382,-0.00052,0.000185,-0.000616
383,-0.000134,0.000425,-0.000472
384,-0.000395,5.2e-05,6.3e-05
385,-0.000258,-0.000573,0.000364
386,-0.000334,-0.000264,-0.000512
387,-0.000943,-8e-05,-0.000502
388,-0.000254,-0.000283,0.000497
389,0.000515,-0.000227,-0.000446
390,5.7e-05,-0.000332,-0.000905
391,-0.000386,-0.000705,-0.000327
392,-8.4e-05,-0.000344,-0.000648
393,5.7e-05,9e-05,0.000109
394,0.0,-0.000377,0.000854
395,3.6e-05,-0.000349,0.000362
396,0.00031,-7e-05,0.000131
397,0.00093,-0.000733,0.000266
398,0.000699,-0.000175,-0.000288
399,-0.000206,0.000212,-0.000754
400,-0.000172,-0.000612,-0.000104
401,0.000229,-0.000425,7.8e-05
402,0.000409,-2.5e-05,-0.000362
403,0.000878,0.000437,-0.000939
404,0.00076,0.00041,-0.000993
405,-7.4e-05,-0.000517,-0.000679
406,-0.000675,-0.000451,-0.00108
407,-0.000405,-0.000425,-0.000777
408,-0.000246,-0.001073,-0.000595
409,-0.000185,-0.000747,1.8e-05
410,0.001007,-0.000564,0.000947
411,0.001196,-0.000559,0.000132
412,0.000351,-4e-05,-0.000667
413,0.000624,0.000108,-0.001071
414,0.000991,0.000304,-0.000516
415,0.000614,-0.000716,-0.00052
416,0.00026,-0.001201,-0.001004
417,0.000645,-0.000971,0.000521
418,0.000655,-0.001927,0.000248
419,-1.7e-05,-0.001155,-0.000397
420,-0.000283,-4.3e-05,0.000314
421,-0.000171,0.000273,0.000873
422,0.001125,-0.000137,0.000841
423,0.00282,-0.000399,-6.3e-05
424,0.002204,-0.000388,-0.00052
425,0.000478,-0.000984,8e-06
426,-0.00033,-0.000732,0.000858
427,-0.000523,-0.000136,0.000275
428,-8.7e-05,0.000422,-0.000769
429,0.000226,0.00021,-0.000188
430,0.000163,-0.000494,0.000213
431,-9.5e-05,-0.000281,-0.000304
432,-0.000167,-0.000162,0.000148
433,0.000336,-0.000372,0.000116
434,0.000188,-0.000277,-0.000944
435,-0.000377,-0.000198,-0.000749
436,8.4e-05,3.7e-05,8.5e-05
437,0.00036,-1.8e-05,8.1e-05
438,7.5e-05,6.3e-05,0.000417
439,0.000373,0.000132,-0.000187
440,7e-05,-0.000712,-0.000549
441,0.000328,-0.000816,0.000535
442,0.000947,-0.000421,-8.1e-05
443,0.000977,-0.000208,-0.001263
444,0.00026,-0.000886,-0.000655
445,-0.000696,-0.000699,0.000324
446,-0.000221,-0.001109,0.000569
447,0.000138,-0.001511,0.000306
448,0.000239,-0.000287,0.000269
449,0.00046,0.000565,1.2e-05
450,0.000394,0.001158,-0.000547
451,0.000156,0.000876,-0.000582
452,-0.000702,-0.000151,0.000107
453,-0.000342,-0.000371,-0.000682
454,0.000747,0.000201,-0.000938
455,0.000966,-0.000506,-0.000237
456,0.0006,-0.001046,-0.000749
457,-0.000907,-9.2e-05,-0.000597
458,-0.000752,-0.000171,-0.0008
459,-2.5e-05,-0.000121,-0.000178
460,-0.000495,0.001096,7e-05
461,-0.000161,0.000404,0.000528
462,-0.000462,0.000338,0.000719
463,-0.001302,1e-05,0.00013
464,-0.000498,-0.000652,9.2e-05
465,0.000906,0.000119,-0.000764
466,0.000327,1.5e-05,-0.000518
467,-0.001392,-0.000807,-0.000351
468,-0.001135,-0.00086,-0.000846
469,-0.00049,0.000197,-0.000213
470,-0.001047,0.000369,-0.000365
471,-0.000454,0.000524,0.000319
472,-0.000218,0.000655,0.001115
473,-0.000626,-0.000292,-0.000559
474,4.8e-05,-0.000691,-0.000582
475,0.000145,-0.000523,0.000694
476,0.000158,-0.000468,0.000706
477,0.000651,-0.000719,6.2e-05
478,0.000236,-0.000152,0.000602
479,0.00064,0.000488,0.000131
480,0.000609,0.000704,-0.001213
481,-7e-05,-0.000106,-0.000591
482,0.000125,-0.001392,0.000176
483,-7.8e-05,-0.000695,0.000858
484,-0.000181,0.000734,-1.5e-05
485,0.000606,0.000167,-0.000809
486,0.001485,-0.000978,-0.000576
487,0.00081,-0.000199,-0.000155
488,0.000317,0.000298,-0.000968
489,-6.3e-05,0.000664,-0.000889
490,-2.9e-05,0.000518,-0.000154
491,0.001242,0.000518,-0.00064
492,0.000773,0.000189,0.00024
493,9.6e-05,-0.000319,0.000266
494,0.000376,0.000258,-0.000169
495,-0.000189,0.000762,-0.00053
496,0.000434,0.000512,-0.000857
497,0.000799,0.00023,-0.00012
498,-0.000196,0.000524,0.00013
499,6.6e-05,-0.000584,-0.000127
500,-0.000313,-0.001219,0.000248
501,-0.00107,-0.000543,-4.7e-05
502,-0.000695,-0.000743,-0.000545
503,0.00017,-0.000992,-0.001157
504,0.000958,-0.00127,-0.000543
505,0.00078,-0.000893,0.001072
506,-0.000328,-6e-05,0.001065
507,-0.000883,-0.000121,0.000153
508,-0.001053,-0.000555,-0.000661
509,-0.000386,-0.000663,-0.000379
510,0.000548,-0.000584,0.000156
511,0.000206,5.3e-05,-0.000701
512,-6e-06,0.000702,-0.00087
513,0.000677,0.000434,0.000877
514,0.001223,-0.000296,0.001374
515,0.001032,-0.001128,3e-06
516,0.000911,-0.001286,-0.000115
517,0.001655,-0.000211,-0.000933
518,0.001268,0.000422,-0.000408
519,0.000194,-0.000492,0.000362
520,0.000295,-0.000475,-0.000866
521,-0.000709,-4.4e-05,0.000201
522,-0.000941,-0.000401,0.000578
523,1.4e-05,-0.000808,-8.7e-05
524,-0.000596,-0.000146,-0.000276
525,-0.000974,0.000256,-0.000303
526,-0.00015,-7.5e-05,-0.000846
527,0.000314,-0.001105,-0.000801
528,-0.000249,-0.000697,-0.000657
529,-0.000155,0.000967,-0.001057
530,0.000496,0.001738,0.0
531,-0.000172,0.000938,0.000142
532,-0.000974,-0.000691,-0.000195
533,-0.000433,-0.000774,0.000148
534,0.000552,6e-05,9e-05
535,0.000707,0.000807,-0.000301
536,6e-05,0.000409,-0.000752
537,-0.000312,0.000184,-4.7e-05
538,5.2e-05,0.000242,0.000591
539,-0.000206,-0.000324,-0.00065
540,-0.000306,-0.000101,-0.00131
541,-1.4e-05,0.000477,-0.000418
542,-0.000546,0.000972,0.001325
543,-0.000628,0.000351,0.001179
544,5.2e-05,-0.000795,-0.000221
545,-3.3e-05,-0.000345,-0.000553
546,-0.000574,-0.000182,-0.000283
547,-0.000355,8e-06,-0.000235
548,0.000498,9.8e-05,-0.000867
549,0.000519,-0.00111,-0.000883
550,-4.1e-05,-8.1e-05,-0.000493
551,1.5e-05,0.000633,-0.000632
552,6.6e-05,-0.000809,-0.00047
553,-0.000508,-0.000846,-0.000469
554,-0.000407,-0.000355,-0.000949
555,-0.000206,0.000291,-0.000908
556,-0.000441,0.000488,0.000174
557,5.7e-05,-0.000345,-2.1e-05
558,0.000931,-0.000585,-0.000739
559,0.000308,-0.000705,8e-05
560,-4.2e-05,-0.001299,-0.000276
561,0.000416,-0.001299,-0.000483
562,-0.000346,-0.000715,-0.000284
563,0.000246,-0.000701,-0.000544
564,0.001067,-0.000241,-0.000476
565,0.000626,-5.7e-05,5e-05
566,0.00017,-9.3e-05,-0.000356
567,0.000272,0.000278,-0.000701
568,6.9e-05,0.000223,-0.000179
569,-0.001,-2.4e-05,-0.000899
570,-0.001005,0.000135,-0.001138
571,-0.000582,0.00021,-0.000157
572,-0.000644,-0.000677,0.000279
573,-9.7e-05,-0.00082,-0.000357
574,-0.000193,-0.000171,-0.000769
575,0.000126,6.6e-05,-0.000731
576,0.000381,0.000107,-0.001319
577,-0.000203,0.000553,-0.000616
578,0.000144,0.00022,0.000604
579,0.000276,4.7e-05,0.000962
580,4.9e-05,0.00057,0.001659
581,-0.0001,0.000443,1.9e-05
582,0.000509,-0.000876,-0.000566
583,0.000939,-0.000995,-7.6e-05
584,-6.9e-05,-0.000664,-0.000595
585,-0.000389,-0.000807,0.000328
586,0.001007,0.000641,-0.000125
587,0.000874,0.000595,-0.000269
588,-6.8e-05,-0.000255,0.000374
589,-0.000119,7.1e-05,-0.000171
590,-0.000469,0.000299,-0.000491
591,0.000384,0.000634,0.000617
592,0.000926,0.000481,0.000532
593,-0.000663,-0.000972,0.000335
594,-0.000954,-0.000438,0.000441
595,-5.1e-05,0.001228,-0.000164
596,8.4e-05,0.000963,0.000638
597,0.000449,0.00062,0.000298
598,0.000869,-0.000304,-0.0005
599,0.000409,-0.001311,-0.000112
600,9.9e-05,-0.001257,-0.000478
601,0.000254,-0.000967,-0.000797
602,0.000222,-0.000596,-0.000439
603,-0.000409,-0.000885,-6.1e-05
604,-5.4e-05,-0.000718,0.000921
605,0.000804,0.000328,0.000475
606,0.000227,0.000107,-0.000197
607,0.000161,-0.000568,-0.000783
608,-0.00042,0.000384,-0.000971
609,-0.000612,0.000315,0.000295
610,-0.000106,-0.000279,-0.000244
611,-0.000429,-0.000424,-0.00056
612,-0.000768,-0.001523,-0.000241
613,-0.00047,-0.000369,-0.000762
614,-6e-05,0.000769,-0.000882
615,0.000381,-5.4e-05,-0.000438
616,0.000564,-0.000557,-0.000457
617,-0.000294,-0.000411,-0.000285
618,-0.000251,-0.000384,-0.000219
619,-0.000644,-5.4e-05,5.2e-05
620,-9.4e-05,0.000206,0.000724
621,-0.000121,-0.00017,0.000297
622,-0.001309,-0.000312,-0.000486
623,-0.000411,-0.000646,-0.001282
624,0.000579,-0.00041,-0.000484
625,0.000293,0.00021,-5.3e-05
626,-0.000355,0.000464,-0.000962
627,-0.000124,-0.000434,-0.000594
628,0.000201,-0.001321,0.0
629,0.000442,-0.000289,-0.000719
630,0.000213,0.000467,-0.001233
631,-0.000124,9.6e-05,-0.000669
632,-0.000149,-0.000713,-0.000339
633,-0.000633,-0.001136,-0.000867
634,-0.000653,-0.000671,-0.000479
635,0.000419,-0.000156,-0.000454
636,0.000926,0.000148,-0.00127
637,0.000502,-7.7e-05,-0.000439
638,-0.000164,-0.000372,0.000392
639,-0.000773,0.000871,0.000125
640,-0.000348,0.00167,-0.000849
641,0.000465,0.000662,-0.000146
642,-5e-06,0.000329,0.000352
643,-0.00022,0.000442,-0.001029
644,-2.3e-05,-0.00026,-0.000953
645,-0.00079,-0.000105,5e-06
646,-0.000644,0.000421,0.000119
647,7.9e-05,-0.0002,-0.000987
648,3.1e-05,0.000109,-0.00136
649,-0.000631,-0.000106,0.000194
650,-0.000887,-0.000735,0.001158
651,-0.000851,-0.00078,0.000343
652,-0.000272,0.000164,9.6e-05
653,0.000393,0.000733,0.000186
654,0.000449,0.000134,-0.00085
655,-0.00015,0.00011,-0.000857
656,-0.000831,-0.000621,-0.000771
657,-2.8e-05,-0.000433,-0.000442
658,0.000392,0.000317,0.000352
659,-0.000131,0.001318,-0.000518
660,-0.000443,0.00166,-0.000737
661,3.6e-05,0.000331,0.00016
662,0.000237,-0.000503,-0.000206
663,-0.000705,-0.000423,-0.000221
664,-0.000926,0.000253,0.000586
665,-0.000674,0.000215,0.000406
666,-0.00028,-0.000657,-0.000334
667,2e-06,-0.000887,-3.7e-05
668,-0.000677,-0.000675,0.000702
669,-0.000388,-0.000354,-0.000283
670,-0.000329,-0.000391,-0.00104
671,-0.000478,0.000203,-0.000452
672,-0.000108,-0.000117,-0.000272
673,-0.000229,-0.000395,-0.000431
674,-0.00022,0.000757,9e-06
675,-0.000545,0.000754,0.000506
676,-0.000694,-0.000266,0.000295
677,-0.000165,-0.000954,0.000314
678,0.000784,-0.001403,0.000206
679,0.000303,-0.001274,0.000865
680,-0.000415,-0.001073,0.000383
681,7e-06,-0.001717,-0.000475
682,-0.000357,-0.000991,-2.8e-05
683,-0.000794,-0.000989,-0.000237
684,-0.000788,-0.001097,0.000362
685,-0.000272,0.000106,0.000372
686,0.000163,-0.000249,4.3e-05
687,-2.4e-05,-0.001203,5.4e-05
688,-0.000663,-0.000649,-0.000254
689,6.9e-05,0.000146,-0.000129
690,0.000412,-0.000915,0.000928
691,-0.000105,-0.001063,0.000895
692,0.000447,-0.000213,0.000505
693,-0.000369,0.000292,0.000771
694,-0.000863,5.2e-05,0.000551
695,-0.00023,-0.000188,0.000355
696,3.1e-05,-0.000317,4e-06
697,-0.000305,-0.000712,-0.001163
698,-0.001081,-0.000302,-0.000899
699,-0.000589,-0.000475,0.000266
700,-0.000133,0.000215,-0.000283
701,-0.000864,0.000797,-0.000657
702,-0.000973,0.000631,-0.00151
703,0.000115,0.000419,-0.001231
704,6.7e-05,0.000425,-0.000259
705,-0.000985,0.000105,0.000325
706,-0.001308,-0.000254,0.001035
707,-0.000556,-0.000652,0.000982
708,0.000556,-0.001098,-2e-05
709,-0.000408,-0.00083,-0.000894
710,-0.001697,-0.000131,-0.000421
711,-0.0009,0.000243,-0.000405
712,-0.000712,-0.000221,2e-06
713,-0.001427,0.000278,-1e-06
714,-0.000624,-6.5e-05,-0.000438
715,0.000136,-0.000635,0.00015
716,-0.000595,-0.000423,1.4e-05
717,-0.00086,9.4e-05,-0.000224
718,-0.000709,0.000586,-0.000944
719,-0.001433,-0.000246,-0.00152
720,-0.001105,3e-05,-0.000871
721,0.000732,0.000997,-0.001055
722,0.001103,-0.000166,-0.001676
723,0.000248,-0.000957,-0.002331
