,QuatX,QuatY,QuatZ,QuatS
0,0.001230852,0.00176786,-0.629534,0.77697
1,0.001229345,0.00176393,-0.629533,0.776971
2,0.001228102,0.00176469,-0.629534,0.77697
3,0.001224513,0.0017649,-0.629534,0.77697
4,0.001224504,0.00176563,-0.629533,0.776971
5,0.001225967,0.0017688,-0.629535,0.77697
6,0.001226363,0.00176794,-0.629534,0.77697
7,0.001225782,0.00176103,-0.629532,0.776972
8,0.001227332,0.00176109,-0.629532,0.776972
9,0.001224785,0.00176184,-0.629532,0.776972
10,0.001224346,0.00176175,-0.629533,0.776971
11,0.001225068,0.00176493,-0.629533,0.776971
12,0.001225895,0.00176669,-0.629533,0.776971
13,0.001225763,0.00175656,-0.629533,0.776971
14,0.001224884,0.00175786,-0.629532,0.776972
15,0.001226261,0.00176454,-0.629531,0.776973
16,0.001225338,0.00176423,-0.62953,0.776974
17,0.00122759,0.00176362,-0.62953,0.776974
18,0.001228153,0.00176309,-0.62953,0.776973
19,0.001223345,0.00175783,-0.62953,0.776973
20,0.001222489,0.00175841,-0.629532,0.776972
21,0.001224448,0.00176184,-0.629531,0.776973
22,0.001224185,0.00176163,-0.629531,0.776973
23,0.001224949,0.00176092,-0.629532,0.776972
24,0.001223601,0.00176132,-0.629534,0.77697
25,0.001222338,0.00175811,-0.629534,0.77697
26,0.00122252,0.00175958,-0.629533,0.776971
27,0.0012235,0.00176606,-0.629534,0.77697
28,0.001221738,0.00176571,-0.629534,0.77697
29,0.001221779,0.00176353,-0.629535,0.776969
30,0.001220998,0.00176202,-0.629535,0.776969
31,0.001222073,0.00175662,-0.629535,0.776969
32,0.00122282,0.00175754,-0.629534,0.77697
33,0.001224169,0.00176498,-0.629534,0.77697
34,0.001222195,0.00176549,-0.629535,0.776969
35,0.001219861,0.00175984,-0.629535,0.77697
36,0.001221393,0.00176009,-0.629534,0.77697
37,0.001220361,0.00175585,-0.629534,0.77697
38,0.001220578,0.00175432,-0.629534,0.77697
39,0.001222182,0.00175881,-0.629535,0.776969
40,0.001222685,0.00175998,-0.629536,0.776969
41,0.00122297,0.00175468,-0.629537,0.776968
42,0.001221584,0.0017542,-0.629537,0.776968
43,0.001223993,0.00175377,-0.629537,0.776968
44,0.00122269,0.00175223,-0.629537,0.776968
45,0.001226181,0.00175341,-0.629537,0.776968
46,0.001224676,0.00175208,-0.629538,0.776967
47,0.001219242,0.00174654,-0.629536,0.776968
48,0.001217413,0.00174806,-0.629536,0.776969
49,0.001217616,0.00175209,-0.629535,0.776969
50,0.001217052,0.00175404,-0.629535,0.776969
51,0.001223467,0.00174957,-0.629535,0.776969
52,0.001224543,0.00174849,-0.629535,0.776969
53,0.0012228,0.00174053,-0.629535,0.776969
54,0.00122336,0.00174127,-0.629536,0.776969
55,0.001225212,0.00174952,-0.629535,0.77697
56,0.00122483,0.00174919,-0.629535,0.776969
57,0.00121982,0.0017434,-0.629536,0.776968
58,0.001220216,0.00174453,-0.629536,0.776968
59,0.001216742,0.00173867,-0.629536,0.776968
60,0.001215867,0.00173818,-0.629536,0.776969
61,0.001216363,0.00174749,-0.629534,0.77697
62,0.001217119,0.00174632,-0.629533,0.776971
63,0.001218549,0.0017427,-0.629533,0.776971
64,0.001218578,0.00174326,-0.629533,0.776971
65,0.001213866,0.00174352,-0.629532,0.776972
66,0.001215091,0.00174482,-0.629531,0.776972
67,0.001215051,0.00175259,-0.629532,0.776972
68,0.001215929,0.00175206,-0.629532,0.776972
69,0.001218188,0.00174795,-0.629531,0.776972
70,0.001219063,0.0017487,-0.629532,0.776972
71,0.001219206,0.00175406,-0.629531,0.776972
72,0.001220328,0.00175443,-0.629532,0.776972
73,0.001221452,0.0017597,-0.629532,0.776972
74,0.001221507,0.00175834,-0.629532,0.776971
75,0.001219638,0.00175194,-0.629532,0.776972
76,0.001218287,0.00175163,-0.629532,0.776971
