,xGyr,yGyr,zGyr
0,-0.000985,0.000498,-0.000877
1,-0.000563,0.000426,0.0003
2,-0.000738,-0.0003,7.3e-05
3,-0.000729,-0.000614,-0.000275
4,-0.000338,-0.000314,0.000348
5,-0.000361,4.4e-05,-0.000529
6,0.000167,-0.000351,-0.000632
7,0.00092,0.000118,0.001197
8,0.001044,0.000698,0.001396
9,0.000395,0.000306,0.000391
10,-0.000112,-0.000139,-0.000799
11,-0.000506,0.000125,-0.000686
12,-0.000652,0.000919,7.6e-05
13,0.000545,0.000694,-0.000274
14,0.00013,0.00012,0.000502
15,-0.000851,0.000583,0.001169
16,-0.000456,6.8e-05,0.001203
17,-0.000891,-0.001454,0.000632
18,-0.000373,-0.001145,-0.000426
19,-7.9e-05,-0.000378,-0.000334
20,-0.000798,-0.000391,-0.000698
21,2.9e-05,-0.000102,-0.000163
22,0.000409,-0.000197,0.000645
23,-0.000309,-0.000269,-0.000376
24,-0.000797,-0.000354,-0.001594
25,-0.00084,0.00024,-0.001449
26,-0.000637,0.000957,0.000314
27,7e-06,0.000146,0.000299
28,-0.000137,-0.000909,-0.000482
29,-0.00044,-0.000922,-0.000646
30,0.000156,-0.001036,-0.000384
31,0.000914,-0.000461,5.4e-05
32,0.000778,0.000677,0.000277
33,0.000247,0.000474,0.00027
34,-0.00074,-0.000339,-0.000327
35,-0.001558,-0.000755,-4e-06
36,-0.000159,4.9e-05,0.000523
37,0.001165,0.000213,0.000433
38,0.001207,-0.000671,-0.000152
39,0.000436,-6e-05,-0.000982
40,-0.000155,0.000851,-0.000869
41,2.4e-05,0.001115,-0.000759
42,-0.000146,0.000125,-0.000464
43,0.000186,-0.001145,-0.000196
44,0.000477,-0.001452,-8e-05
45,-0.000156,-0.001111,-3e-06
46,-0.000133,-0.000791,-0.000441
47,-0.000375,-0.00097,0.000355
48,-0.001334,-0.00047,0.000998
49,-0.000982,-0.000595,0.000665
50,-0.000695,-0.000144,0.000206
51,3.2e-05,0.000729,-6.7e-05
52,0.001304,0.000201,-1.9e-05
53,0.000388,-0.000196,-4.7e-05
54,-1.3e-05,0.000372,-0.000387
55,7.7e-05,0.000411,0.000238
56,-0.000163,-0.000291,0.000239
57,-0.000614,-0.000476,-0.000701
58,-0.000741,0.000175,-0.000498
59,-0.000511,-0.000132,3e-05
60,-0.000498,-0.000955,0.000267
61,-0.000695,-0.000334,0.001111
62,-1.7e-05,-0.000134,0.001238
63,0.000696,0.000595,0.000284
64,3.6e-05,0.000949,0.000221
65,-0.000606,0.000179,0.000734
66,-0.000421,0.000709,0.000832
67,0.000147,0.000132,-0.000162
68,0.000502,-0.000525,-0.000383
69,0.000593,0.000491,0.000404
70,0.000271,0.000887,1e-05
71,0.000669,0.00069,8.2e-05
72,0.00084,0.000636,6.8e-05
73,0.000491,0.000146,-0.000367
74,0.000359,-0.000408,-0.000312
