TimeStartup,TimeGps,TimeSyncIn,Yaw,Pitch,Roll,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,UncompAccX,UncompAccY,UncompAccZ,UncompGyroX,UncompGyroY,UncompGyroZ,MagX,MagY,MagZ,Temperature,Pressure
258800007000,258800007000,258800007000,-144.208,-000.090,+000.157,-00.000069,-00.000122,+00.000794,+00.0262,-00.0135,-09.7601,+00.0262,-00.0135,-09.7601,-00.000067,-00.000017,-00.000384,-0.544,+0.813,+1.239,+036.52,+100.08
258802507000,258802507000,258802507000,-144.208,-000.089,+000.157,-00.000077,-00.000093,+00.000145,-00.0062,-00.0236,-09.7989,-00.0062,-00.0236,-09.7989,-00.000074,+00.000012,-00.001033,-0.544,+0.813,+1.239,+036.52,+100.08
258805007000,258805007000,258805007000,-144.208,-000.089,+000.157,+00.000467,-00.000604,-00.000636,-00.0284,-00.0413,-09.8006,-00.0284,-00.0413,-09.8006,+00.000470,-00.000500,-00.001814,-0.544,+0.810,+1.241,+036.52,+100.08
258807507000,258807507000,258807507000,-144.208,-000.089,+000.157,+00.000364,-00.000515,-00.000437,+00.0317,-00.0099,-09.7625,+00.0317,-00.0099,-09.7625,+00.000367,-00.000410,-00.001615,-0.544,+0.810,+1.241,+036.52,+100.09
258810010000,258810010000,258810010000,-144.208,-000.089,+000.157,-00.000172,-00.000228,-00.000030,-00.0241,+00.0010,-09.7445,-00.0241,+00.0010,-09.7445,-00.000169,-00.000123,-00.001208,-0.547,+0.813,+1.239,+036.52,+100.09
258812507000,258812507000,258812507000,-144.208,-000.089,+000.157,+00.000556,-00.000028,-00.000090,-00.0578,-00.0097,-09.7670,-00.0578,-00.0097,-09.7670,+00.000558,+00.000076,-00.001269,-0.543,+0.813,+1.237,+036.52,+100.09
258815007000,258815007000,258815007000,-144.208,-000.089,+000.157,+00.000490,-00.000003,+00.000030,+00.0086,+00.0140,-09.7624,+00.0086,+00.0140,-09.7624,+00.000493,+00.000102,-00.001149,-0.543,+0.813,+1.237,+036.52,+100.09
258817507000,258817507000,258817507000,-144.208,-000.089,+000.156,+00.000141,-00.000437,-00.000286,-00.0278,+00.0039,-09.7549,-00.0278,+00.0039,-09.7549,+00.000144,-00.000332,-00.001465,-0.543,+0.811,+1.235,+036.52,+100.09
258820007000,258820007000,258820007000,-144.208,-000.089,+000.156,-00.000130,-00.000594,-00.000612,-00.0451,-00.0163,-09.7720,-00.0451,-00.0163,-09.7720,-00.000128,-00.000489,-00.001790,-0.543,+0.811,+1.235,+036.52,+100.09
258822507000,258822507000,258822507000,-144.208,-000.090,+000.156,-00.000521,-00.000606,-00.000086,+00.0195,-00.0137,-09.7911,+00.0195,-00.0137,-09.7911,-00.000518,-00.000502,-00.001265,-0.543,+0.811,+1.241,+036.52,+100.09
258825007000,258825007000,258825007000,-144.208,-000.090,+000.156,-00.000169,+00.000738,-00.000165,-00.0316,-00.0417,-09.7870,-00.0316,-00.0417,-09.7870,-00.000166,+00.000843,-00.001344,-0.535,+0.809,+1.242,+036.52,+100.09
258827507000,258827507000,258827507000,-144.208,-000.090,+000.156,-00.000159,+00.001210,-00.000520,-00.0328,-00.0576,-09.7721,-00.0328,-00.0576,-09.7721,-00.000157,+00.001315,-00.001698,-0.535,+0.809,+1.242,+036.52,+100.08
258830007000,258830007000,258830007000,-144.208,-000.089,+000.156,-00.000209,+00.000892,+00.000682,+00.0351,-00.0314,-09.7586,+00.0351,-00.0314,-09.7586,-00.000206,+00.000996,-00.000497,-0.545,+0.814,+1.240,+036.52,+100.08
258832507000,258832507000,258832507000,-144.208,-000.089,+000.156,+00.000403,+00.000426,+00.000276,-00.0260,-00.0184,-09.7370,-00.0260,-00.0184,-09.7370,+00.000406,+00.000530,-00.000902,-0.545,+0.814,+1.240,+036.52,+100.09
